:ID,:LABEL,lemma,annotator,line_id,line_text,auto
4459,SUBSTANCE,हरीतकी,3.0,253827.0,ततो दिव्यात्समुत्पन्ना सप्तजातिर्हरीतकी ५,
4460,SUBSTANCE,अमृता,3.0,253828.0,हरीतक्यभया पथ्या कायस्था पूतनाऽमृता,
4461,SUBSTANCE,पूतना,3.0,253828.0,हरीतक्यभया पथ्या कायस्था पूतनाऽमृता,
4462,SUBSTANCE,कायस्था,3.0,253828.0,हरीतक्यभया पथ्या कायस्था पूतनाऽमृता,
4463,SUBSTANCE,पथ्या,3.0,253828.0,हरीतक्यभया पथ्या कायस्था पूतनाऽमृता,
4464,SUBSTANCE,अभया,3.0,253828.0,हरीतक्यभया पथ्या कायस्था पूतनाऽमृता,
4465,SUBSTANCE,शिवा,3.0,253829.0,हैमवत्यव्यथा चापि चेतकी श्रेयसी शिवा ६,
4466,SUBSTANCE,श्रेयसी,3.0,253829.0,हैमवत्यव्यथा चापि चेतकी श्रेयसी शिवा ६,
4467,SUBSTANCE,चेतकी,3.0,253829.0,हैमवत्यव्यथा चापि चेतकी श्रेयसी शिवा ६,
4468,SUBSTANCE,अव्यथा,3.0,253829.0,हैमवत्यव्यथा चापि चेतकी श्रेयसी शिवा ६,
4469,SUBSTANCE,हैमवती,3.0,253829.0,हैमवत्यव्यथा चापि चेतकी श्रेयसी शिवा ६,
4470,SUBSTANCE,रोहिणी,3.0,253830.0,वयस्था विजया चापि जीवन्ती रोहिणीति च ७,
4471,SUBSTANCE,जीवन्ती,3.0,253830.0,वयस्था विजया चापि जीवन्ती रोहिणीति च ७,
4472,SUBSTANCE,विजया,3.0,253830.0,वयस्था विजया चापि जीवन्ती रोहिणीति च ७,
4473,SUBSTANCE,वयस्था,3.0,253830.0,वयस्था विजया चापि जीवन्ती रोहिणीति च ७,
4475,SIZE_PROPERTY,सूक्ष्म,3.0,253834.0,पूतनाऽस्थिमती सूक्ष्मा कथिता मांसलाऽमृताः ९,
4474,SVARUUPA_PROPERTY,अस्थिमति,3.0,253834.0,पूतनाऽस्थिमती सूक्ष्मा कथिता मांसलाऽमृताः ९,
4476,SVARUUPA_PROPERTY,मांसल,3.0,253834.0,पूतनाऽस्थिमती सूक्ष्मा कथिता मांसलाऽमृताः ९,
4477,RUUPA_PROPERTY,पञ्चरेखा,3.0,253835.0,पञ्चरेखाऽभया प्रोक्ता जीवन्ती स्वर्णवर्णिनी,
4478,RUUPA_PROPERTY,त्रिरेखा,3.0,253836.0,त्रिरेखा चेतकी ज्ञेया सप्तानामियमाकृतिः १०,
4479,NIJA_ROGA,सर्वरोग,3.0,253837.0,विजया सर्वरोगेषु रोहिणी व्रणरोहिणी,
4480,KARMA,व्रणरोहण,3.0,253837.0,विजया सर्वरोगेषु रोहिणी व्रणरोहिणी,
