ID	QUESTION	ANSWER	CHOICES	gpt-4o	mistral-large-latest	llama-v3p1-405b-instruct	gemini-1.5-pro	claude-3-5-sonnet-20240620	gpt-4o-mini	gpt-3.5-turbo	gemini-1.0-pro	llama-v3p1-70b-instruct	llama-v3p1-8b-instruct
1001	तृणधान्यम् कस्य पर्यायः अस्ति	क्षुद्रधान्यम्	क्षुद्रधान्यम् / धान्यम् / शाकम् / व्रीहिधान्यम्	क्षुद्रधान्यम्	क्षुद्रधान्यम्	क्षुद्रधान्यम्	धान्यम्	क्षुद्रधान्यम्	व्रीहिधान्यम्	तृणधान्यं अर्थात् क्षुद्रधान्यं अस्ति तृणं शास्त्रिय भाषाय	क्षुद्रधान्यम्	क्षुद्रधान्यम्	व्रीहिधान्यम्
1002	कृष्णतण्डुलः कस्य पर्यायः अस्ति ? 	शालामुखः	कृष्णः / जतुमुखः / व्रीहि / शालामुखः	जतुमुखः	कृष्णतण्डुलः शालामुखः पर्यायः अस्ति	कृष्णतण्डुलः जतुमुखः पर्यायः अस्ति |	"**शालामुखः** 

**कथम्?** निघण्टु ग्रन्थेषु उक्तम्"	जतुमुखः	कृष्णतण्डुलः व्रीहि-स्य पर्यायः अस्ति	कृष्णतण्डुलः व्रीहिः अस्ति	शालामुखः	कृष्णतण्डुलः जतुमुखस्य पर्यायः अस्ति	कृष्णतण्डुलः = व्रीहि
1003	वनमुद्गः कस्य पर्यायः ? 	मकुष्ठकः	मुद्गः / माषः / क्षुद्रधान्यम् / मकुष्ठकः	मकुष्ठकः	मुद्गः	माषः	"**माषः** 

वनमुद्गः माषस्य पर्यायः अस्ति"	मुद्गः	वनमुद्गः कस्य पर्यायः माषः अस्ति	वनमुद्गः वनस्पतिः आस्ति तस्य पर्यायः मुद्गः इति	मुद्गः	माषः	वनमुद्गः क्षुद्रधान्यम्
1004	शालिधान्यस्य प्रकाराः के सन्ति	रक्तशालिः + कलमः + पाण्डुकः + शकुनाहृतः + सुगन्धकः + कर्दमकः + महाशालिः + दूषकः + पुष्पाण्डकः + पुण्डरीकः + महिषमस्तकः + दीर्घशूकः + काञ्चनकः + हायनः + लोध्रपुष्पक		शालिधान्यस्य प्रकाराः षट् सन्ति	शालिधान्यस्य विविधाः प्रकाराः सन्ति	शालिधान्यस्य प्रकाराः सन्ति - तण्डुलः, यवः, गोधूमः, चणकः, माषः, तिलः, प्रियङ्गुः, कोद्रवः, वरकः, नीव	षष्टिकाः, शूकधान्याः, तण्डुलाश्च	"शालिधान्यस्य (तण्डुलस्य) प्रमुखाः प्रकाराः एते सन्ति:

1 रक्तशालिः
2 श्वेतश"	"शालिधान्यस्य प्रकाराः त्रयः सन्ति:  

1 स्वर्णशालि  
2 रक्ता शालि  
3 कर्णशालि"	शालिधान्यं एकं प्रमुखं धान्यं अस्ति यत् तत्र शाली उत्पन्ना भवति	"भौतिको
शालिधान्यः द्विविधः
१ शुष्कः
२ आर्द्रः

रासायनिको
शालिधान्यस्य रासायनिकसंरचना -
- कार्बोहाइड्रेट ७०-"	"शालिधान्यस्य प्रकाराः बहवः सन्ति तेषु प्रमुखाः सन्ति - 

१) श्वेतशालि
२) रक्तशालि
३) कृष्णशालि
४) श्यामाक"	"शालिधान्यस्य प्रकाराः पञ्च सन्ति  

१ गोधूम
२ ज्वार
३ बाजरा
४ रागी
५ मुद्ग"
1005	धान्यस्य कति प्रकाराः उक्ताः	पञ्च		आयुर्वेदे धान्यस्य षट् प्रकाराः उक्ताः	पञ्च	षट्प्रकाराः	षट्	आयुर्वेदशास्त्रानुसारं धान्यस्य षोडश (१६) प्रकाराः उक्ताः	"धान्यस्य अनेके प्रकाराः सन्ति, यथा: 

1 धान्यम् (Rice)
2 गोधूमम् (Wheat)
3 ज्वारम् (Sorghum)
4 बाज्रा (Pearl millet)
5 मक्का (Maize)"	धान्यस्य चत्वारः प्रकाराः उक्ताः भवन्ति ते च अन्नधान्यं (या	१८	धान्यस्य दश प्रकाराः उक्ताः	"धान्यस्य प्रकाराः

१ ज्वार
२ बाजरा
३ जौ
४ गोधूम
५ मुद्ग
६ चावल
७ रागी
८ कोद्र
९ कुटकी"
1006	धान्यस्य के प्रकाराः उक्ताः	शालिधान्यम् + व्रीहिधान्यम् + शूकधान्यम् + शिम्बिधान्यम् + क्षुद्रधान्यम्		"धान्यानां प्रकाराः बहवः सन्ति तेषु प्रमुखाः एते सन्ति: 
१ गोधूमः (Triticum aestivum)
२ यवः (Hordeum vulgare)
३ तण्डुलः (Oryza sativa"	शालिः, यवः, गोधूमः, तिलः, माषः	धान्यस्य द्वौ प्रकारौ उक्तौ	"षष्ष्टिः  
धान्यविशेषाः षष्टिः इति आयुर्वेदोक्तिः"	"आयुर्वेदे धान्यस्य प्रमुखाः द्वौ प्रकारौ उक्तौ:

1 शूकधान्य
2 शमीधान्य"	"धान्यस्य प्रमुखाः प्रकाराः इवाः:

1 चावलः (Oryza sativa)
2 गेहूं (Triticum aestivum)
3 ज्वारः (Sorghum bicolor)
4 बाजरा (Pennisetum glaucum"	अत्र प्रमुखं धान्यस्य प्रकारं चत्वारः उक्ताः भवन्ति - शालि, गेहू,	षड् प्रकाराः	धान्यस्य प्रकाराः निम्नलिखिताः सन्ति - शालि, व्रीहि, यव, गोधूम, तिल, माष, मुद्ग, कलाय, अतसी, कुसुम्भ, प्रियangu, श	"धान्यस्य प्रकाराः

१ ज्वार
२ बाजरा
३ जौ
४ गोधूम
५ मक्का
६ चावल
७ रागी
८ कोदो
९ कुटकी"
1007	शालामुखः कस्य प्रकारः अस्ति? 	व्रीहिधान्यम्	शालिधान्यम् / व्रीहिधान्यम् / शूकधान्यम् / शिम्बिधान्यम्	शालिधान्यम्	शालिधान्यम्	शालिधान्यम्	शालिधान्यम्  शालामुखः तण्डुलजातीयः इति कारणतः	शूकधान्यम्	शालामुखः शालिधान्यं अस्ति	शालामुखः व्रीहिधान्यम् अस्ति शालीधान्यम् अर्थात् धान्यं यथ	व्रीहिधान्यम्	शालामुखः शूकधान्यम् अस्ति	शालामुखः शूकधान्यम् अस्ति
1008	मुद्गस्य कति भेदाः उक्ताः? 	पञ्च		पञ्च	नव	मुद्गस्य त्रयः भेदाः उक्ताः	षट्   औषधीयगुणभेदेण	आयुर्वेदशास्त्रानुसारं मुद्गस्य त्रयः भेदाः उक्ताः - हरितमुद्गः, श्वेतमुद्ग	मुद्गस्य द्विविधानि भेदाः सन्ति - शीतलमुद्गः (मूषिक) च उष्णमुद्गः (माष) च	मुद्गस्य त्रयः भेदाः उक्ताः विद्वेष्टिताम्, नीलान्तराम्, च माश	"षड् 
1 माषः
2 हरीतः
3 अक्षः
4 षण्णः
5 कृष्णः
6 निलाः"	मुद्गस्य दश भेदाः उक्ताः	मुद्गस्य चार भेदाः उक्ताः - मुद्ग, मुद्गमुद्ग, मुद्गमूल, मुद्गवृक्ष
1009	दग्धमृत्-जात-शाली शाली च अनयोः को भेदः?	शालिः स्निग्धा अस्ति, दग्धमृज्जातशालिः रूक्षा		दग्धमृत्-जात-शाली अग्नि-शोषितः धान्यः शाली च साधारणः धान्यः	"दग्धमृत्-जात-शाली शाली च अनयोः भेदः कः?

दग्धमृत्-जात"	दग्धमृत्-जात-शाली शाली च अनयोः भेदः नास्ति	दग्धमृत्-जात-शाली औषधत्वेन, शाली अन्नत्वेन	"दग्धमृत्-जात-शाली शाली च अनयोः मुख्यः भेदः उत्पादन-प्रक्रियायाम् अस्ति

दग्धम"	"दग्धमृत्-जात-शाली शाली च मध्ये मुख्यतः भेदः अस्ति यः ""दग्धमृत्"" इति शब्देन सूचितः अस्ति, यः दग्धं मृतं च यथा उपयुक्तं नष्टं स्यात् """	दग्धमृत्-जात-शाली और शाली - इन दोनों का भेद यह है कि दग्धमृत	"भेदो नास्ति

##"	दग्धमृत्-जात-शाली शाली च अनयोः भेदः नास्ति	दग्धमृत्-जात-शाली शाली च अनयोः भेदः - दग्धमृत्-जात-शाली शाली च अनयोः भेदः - दग्धमृत्-जात-शाली श
1010	शालिधान्यस्य कः प्रकारः श्रेष्ठः ? 	रक्तशालिः		नवधान्यम्	नवः	शालिधान्यस्य श्वेतः प्रकारः श्रेष्ठः	"**षष्टिकः** 
कारणम् -  षष्टिकशालिः सुपाच्यः, बलवर्धकः,  रक्तपित्तशामकः च"	"रक्तशालिः श्रेष्ठः

रक्तशालिः आयुर्वेदे उत्तमगुणयुक्तः मन्यते अयं पोषकत"	"शालिधान्यस्य श्रेष्ठः प्रकारः ""सर्वश्रेष्ठ शालि"" इत्युच्यते"	शालिधान्यस्य श्रेष्ठतमं प्रकारं प्रज्वलित-धान्यं इति वदन्ति यद	श्यामः	"शालिधान्यस्य श्रेष्ठः प्रकारः शास्त्रोक्तः निम्नलिखितः अस्ति - 

शालिर्भवति त्रिविधः स्यात्, व्रीहिर्यः शालिरुच्यते"	शालिधान्यस्य श्रेष्ठः प्रकारः गोधूमः
