ID	QUESTION	ANSWER	CHOICES	gpt-4o	mistral-large-latest	llama-v3p1-405b-instruct	gemini-1.5-pro	claude-3-5-sonnet-20240620	gpt-4o-mini	gpt-3.5-turbo	gemini-1.0-pro	llama-v3p1-70b-instruct	llama-v3p1-8b-instruct
1001	तृणधान्यम् कस्य पर्यायः अस्ति	क्षुद्रधान्यम्; क्षुद्रधान्यस्य	क्षुद्रधान्यम् / धान्यम् / शाकम् / व्रीहिधान्यम्	क्षुद्रधान्यम्	तृणधान्यम् क्षुद्रधान्यम् पर्यायः अस्ति	क्षुद्रधान्यम्	"**धान्यम्** 

तृणधान्यम् इति पदं सर्वविधधान्यानां सङ्ग्राहकपदम् अस्ति"	क्षुद्रधान्यम्	तृणधान्यम् व्रीहिधान्यम् इति पर्यायः अस्ति	तृणधान्यं शाकम् अस्ति तृणं अस्मिन् संदर्भे पुष्पं फलं वा	शाकम्	क्षुद्रधान्यम्	व्रीहिधान्यम्
1002	कृष्णतण्डुलः कस्य पर्यायः अस्ति ? 	शालामुखः	कृष्णः / जतुमुखः / व्रीहि / शालामुखः	कृष्णः	रागिः	कृष्णः	"**शालामुखः**

कृष्णतण्डुलः शालिधान्यविशेषस्य अपरं नाम अस्ति"	व्रीहि	कृष्णतण्डुलः व्रीहि इत्यस्मिन् पर्याये अस्ति	कृष्णतण्डुलः 'व्रीहि' नामकस्य प्रकारस्य पर्यायः अस्ति	श्यामकः/मालकः/महाविषः	कृष्णतण्डुलः जतुमुखस्य पर्यायः अस्ति	कृष्णतण्डुलः = व्रीहि
1003	वनमुद्गः कस्य पर्यायः ? 	मकुष्ठकः	मुद्गः / माषः / क्षुद्रधान्यम् / मकुष्ठकः	मकुष्ठकः	मुद्गः	माषः	माषः	मुद्गः	वनमुद्गः इति मुद्गस्य पर्यायः अस्ति	मुद्गः वनपर्यायः अस्ति	माषः	माषः	वनमुद्गः क्षुद्रधान्यम्
1004	शालिधान्यस्य प्रकाराः के सन्ति	रक्तशालिः + कलमः + पाण्डुकः + शकुनाहृतः + सुगन्धकः + कर्दमकः + महाशालिः + दूषकः + पुष्पाण्डकः + पुण्डरीकः + महिषमस्तकः + दीर्घशूकः + काञ्चनकः + हायनः + लोध्रपुष्पक; रक्तशालिः कर्दमकः दूषकः; शालिधान्यस्य प्रकाराः रक्तशालिः दीर्घशूकः सुगन्धकश्च सन्ति		शालिधान्यस्य प्रकाराः षड् सन्ति	शालिधान्यस्य प्रकाराः सन्धानम्, स्थूलकम्, शतपुष्पम्, महाशालि	शालिधान्यस्य प्रकाराः सन्ति - तण्डुलः, यवः, गोधूमः, चणकः, माषः, तिलः, प्रियङ्गुः, कोद्रवः, वरकः, नीव	षष्टिः	"शालिधान्यस्य (तण्डुलस्य) प्रमुखाः प्रकाराः एते सन्ति:

1 रक्तशालि
2 श्वेतशाल"	"शालिधान्यस्य चार प्रकाराः सन्ति: 

1 तिल् (Sesame)
2 मूषिका (Small grain)
3 विदत् (Wild rice)
4 शालि (Common rice)"	शालिधान्यं विविध प्रकाराणि भवन्ति, जैसे कि बासमती, सोना मशूर, च	शताः	"शालिधान्यस्य प्रकाराः बहवः सन्ति तेषु प्रमुखाः सन्ति - 

१) श्वेतशालि
२) रक्तशालि
३) कृष्णशालि
४) श्यामक"	"शालिधान्यस्य प्रकाराः पञ्च सन्ति  

१ गोधूम
२ ज्वार
३ बाजरा
४ रागी
५ मुद्ग"
1005	धान्यस्य कति प्रकाराः उक्ताः	पञ्च		पञ्च	अष्टौ	षट्प्रकाराः	षट्   षड्धा धान्यविभागः उक्तः	आयुर्वेदे धान्यस्य षोडश (16) प्रकाराः उक्ताः	धान्यस्य द्वादश प्रकाराः उक्ताः	धान्यं एकदेशे आरण्ये चरेत् एकस्मिन्नेव स्थाने वसेत् एकदेश	धान्यानां प्रकारा: तिल, अलसी, यवः, गेहूँ, वृहद शरपुंखा, उड़द, यव, काकोली, तिल, मुद्ग, षण्णक और नीवार	धान्यस्य दश प्रकाराः उक्ताः	"धान्यस्य प्रकाराः

१ ज्वार
२ बाजरा
३ जौ
४ गोधूम
५ मुद्ग
६ चावल
७ रागी
८ कोद्र
९ कुटकी"
1006	धान्यस्य के प्रकाराः उक्ताः	शालिधान्यम् + व्रीहिधान्यम् + शूकधान्यम् + शिम्बिधान्यम् + क्षुद्रधान्यम्; धान्यस्य प्रकाराः शालि व्रीहि शूक शिम्बी क्षुद्र; धान्यस्य प्रकाराः शालिधान्यं व्रीहिधान्यं शूकधान्यं शिम्बीधान्यं क्षुद्रधान्यम्		धान्यस्य प्रकाराः अष्टौ मुख्याः उक्ताः	धान्यस्य प्रकाराः शालिः, यवः, गोधूमः, माषः, अत एव अन्	धान्यस्य द्वौ प्रकारौ उक्तौ - शूकधान्यं, तण्डुलधान्यं च	"षट्  
कारणम् -  आयुर्वेदस्य अनुसारं, षट् धान्य-प्रकाराः वर्णिताः -  धान्य, शमीधान्य, कर्कन्धु,  त्रपुस,  चणक,  माष"	"आयुर्वेदे धान्यस्य मुख्यतया षोडश प्रकाराः उक्ताः सन्ति ते च:

1 शालि (चावल)
2"	"धान्यस्य प्रमुखाः प्रकाराः एषः: 

1 धान्यम् (Rice)
2 गोधूमम् (Wheat)
3 ज्वारम् (Sorghum)
4 बाजरी (Pearl Millet)
5 उडिद् (Black Gram)
6"	धान्यं विविधानि प्रकाराणि भवन्ति केचन उदाहरणानि अस्ति - धान्यं	धान्योनां षड्प्रकारा उक्ताः : धवलः, रक्तः, कृष्णः, पीतः, कपित्, श्वेतः च	धान्यस्य प्रकाराः निम्नलिखिताः सन्ति - शालि, व्रीहि, यव, गोधूम, तिल, माष, मुद्ग, कलाय, अतसी, प्रियangu, कुसुम्भ, स	"धान्यस्य प्रकाराः

१ ज्वार
२ बाजरा
३ जौ
४ गोधूम
५ मक्का
६ चावल
७ रागी
८ कोदो
९ कुटकी"
1007	शालामुखः कस्य प्रकारः अस्ति? 	व्रीहिधान्यम्	शालिधान्यम् / व्रीहिधान्यम् / शूकधान्यम् / शिम्बिधान्यम्	शूकधान्यम्	शालिधान्यम्	शालिधान्यम्	**शालिधान्यम्**	शूकधान्यम्	शालामुखः शालिधान्यं अस्ति	शालामुखः शालिधान्यमस्ति	व्रीहिधान्यम्	शालामुखः शूकधान्यम् अस्ति	शालामुखः शूकधान्यम् अस्ति
1008	मुद्गस्य कति भेदाः उक्ताः? 	पञ्च		षट्	चत्वारः	मुद्गस्य पञ्च भेदाः उक्ताः	सप्त	आयुर्वेदशास्त्रानुसारं मुद्गस्य त्रयः भेदाः उक्ताः - हरितमुद्गः, श्वेतमुद्ग	मुद्गस्य त्रिभेदाः उक्ताः - हरिद्रिका, श्यामा, श्वेत मुथ	मुद्गस्य त्रीणि भेदाः उक्ताः तानि हन्ति, अतिभद्रा और विकृति	"द्वौ 

## मुद्गस्य भेदौ 

* कृष्ण-मुद्गः - रूक्षः
* हरित-मुद्गः -  मधुरः
*"	मुद्गस्य दश भेदाः उक्ताः	मुद्गस्य चार भेदाः उक्ताः - मुद्ग, मुद्गमुद्ग, मुद्गमूल, मुद्गवृक्ष
1009	दग्धमृत्-जात-शाली शाली च अनयोः को भेदः?	शालिः स्निग्धा अस्ति, दग्धमृज्जातशालिः रूक्षा		दग्धम्	दग्धमृत्-जात-शाली अग्निदग्धः, शाली तु स्वाभाविकः	दग्धमृत्-जात-शाली शाली च अनयोः भेदः नास्ति	दग्धमृत्-जातः शाली **औषधीयः**, सामान्यः तु **न**	दग्धमृत्-जात-शाली शाली च अनयोः प्रमुखो भेदः उत्पादन-प्रक्रियायाम् अस्ति दग्धम	दग्धमृत्-जात-शाली शाली च अनयोः मुख्यभेदः यः अस्ति, दग्धमृत्-जात-शाली शाली अग्निना दग्धः मृतः स्यात्, यत्र तस्य गुणाः चन्द्रिका शीत	"दग्धमृत्-जात-शाली शाली च अनयोः भेदः नास्ति ""दग्धमृत्"	"दग्धमृत्-जातः शाली- जायते शालि-शालि
दग्धमृत्: सर्षप- जायते सर्षप- सर्षप
अत्र भेदः उभयत्रापि स्वभावोपलब्धिरे"	दग्धमृत्-जात-शाली शाली च अनयोः भेदः नास्ति	दग्धमृत्-जात-शाली शाली च अनयोः भेदः - दग्धमृत्-जात-शाली शाली च अनयोः भेदः - दग्धमृत्-जात-शाली श
1010	शालिधान्यस्य कः प्रकारः श्रेष्ठः ? 	रक्तशालिः		नवधान्यम्	वर्षाधान्यम्	शालिधान्यस्य श्वेतः प्रकारः श्रेष्ठः	षष्टिकः   पच्यमानः सुगन्धः, लघुः,  बलप्रदः च भवति	पुराणशाली	"शालिधान्यस्य श्रेष्ठः प्रकारः ""सामुद्रिकः"" इति उच्यते"	शालिधान्यं प्रमुखं आहारं आयुर्वेदे तेषां मध्ये साधारणं शालिध	"कृष्णाः 
##"	शालिधान्यस्य श्रेष्ठः प्रकारः शास्त्रोक्तः शालिरेव	शालिधान्यस्य श्रेष्ठः प्रकारः गोधूमः
